performance_id,campaign_id,date,impressions,clicks,likes,comments,shares,conversions,revenue_generated
PERF_00026,CMP_317,2022-06-03,173748,9975.0,13042,1565,1021,344.0,339784.0
PERF_00027,CMP_920,2025-01-22,16889,916.0,1082,193,43,97.0,74495.0
PERF_00028,CMP_510,2024-11-14,49100,1995.0,2576,485,142,441.0,52332.0
PERF_00029,CMP_185,2023-01-13,171955,,22127,4322,2082,434.0,214078.0
PERF_00030,CMP_011,2023-01-17,127185,4262.0,9174,539,461,199.0,412078.0
PERF_00031,CMP_157,2024-02-29,75776,4283.0,10945,2181,705,367.0,100561.0
PERF_00032,CMP_967,2025-02-13,58068,6768.0,5533,726,441,29.0,0.0
PERF_00033,CMP_922,2022-04-29,132819,14760.0,11827,692,717,435.0,312969.0
PERF_00034,CMP_717,2022-08-23,178002,18654.0,12903,2467,846,296.0,325734.0
PERF_00035,CMP_821,2023-06-11,110897,9128.0,10366,1010,423,342.0,126140.0
PERF_00036,CMP_169,2023-11-11,104752,2555.0,10885,1290,1026,479.0,0.0
PERF_00037,CMP_635,2023-04-27,163833,19632.0,24491,1493,907,135.0,0.0
PERF_00038,CMP_630,2024-09-04,19033,2031.0,1294,95,112,360.0,424152.0
PERF_00039,CMP_581,2025-01-04,3050,254.0,280,53,7,449.0,0.0
PERF_00040,CMP_977,2024-09-08,29058,2663.0,1168,107,43,175.0,333523.0
PERF_00041,CMP_400,2023-10-20,70201,4604.0,3695,688,88,324.0,146060.0
PERF_00042,CMP_952,2025-01-18,1929,90.0,71,13,2,226.0,225231.0
PERF_00043,CMP_493,2024-10-20,3534,78.0,504,77,16,18.0,306402.0
PERF_00044,CMP_052,2022-06-05,39821,2280.0,1012,105,95,497.0,472295.0
PERF_00045,CMP_773,2025-01-05,56070,4767.0,5982,616,387,447.0,326405.0
PERF_00046,CMP_400,2023-10-06,41515,4642.0,2107,156,176,90.0,13995.0
PERF_00047,CMP_130,2024-11-11,194085,21678.0,23622,2639,1738,376.0,140883.0
PERF_00048,CMP_460,2022-11-10,184835,4046.0,24653,4407,931,418.0,184321.0
PERF_00049,CMP_577,2023-04-19,60662,2094.0,6418,704,271,35.0,147341.0
PERF_00050,CMP_676,2023-06-15,169160,11170.0,18326,3235,852,14.0,0.0
PERF_00051,CMP_509,2023-09-11,47810,3531.0,7069,394,478,176.0,165457.0
PERF_00052,CMP_508,2022-12-28,159914,18912.0,5602,1035,197,22.0,1886.0
PERF_00053,CMP_626,2024-03-11,142151,12161.0,20218,3246,723,220.0,0.0
PERF_00054,CMP_776,2022-09-03,164356,7318.0,21406,3381,942,158.0,
PERF_00055,CMP_491,2023-09-21,183769,,6716,759,639,346.0,92240.0
PERF_00056,CMP_427,2022-05-13,150187,6473.0,13701,685,588,220.0,319065.0
PERF_00057,CMP_617,2022-02-21,85475,5226.0,6622,543,383,461.0,386855.0
PERF_00058,CMP_421,2024-03-16,173713,3357.0,15114,2190,707,419.0,124138.0
PERF_00059,CMP_640,2022-02-04,82374,2859.0,3779,202,149,243.0,403909.0
PERF_00060,CMP_247,2024-03-30,120384,6691.0,12263,970,928,253.0,78369.0
PERF_00061,CMP_361,2023-11-19,181256,1923.0,21320,3528,608,217.0,422585.0
PERF_00062,CMP_242,2024-07-22,183429,12285.0,4866,425,427,233.0,0.0
PERF_00063,CMP_863,2024-06-27,176001,12042.0,16308,1591,1311,226.0,378106.0
PERF_00064,CMP_270,2024-01-05,112867,11440.0,10296,1900,818,243.0,395147.0
PERF_00065,CMP_462,2025-03-03,168159,6811.0,20363,2498,797,225.0,0.0
PERF_00066,CMP_668,2024-05-16,62471,2491.0,3845,503,119,118.0,81113.0
PERF_00067,CMP_785,2025-04-16,57086,974.0,4166,547,221,105.0,205198.0
PERF_00068,CMP_358,2024-06-28,154112,17579.0,3473,632,229,244.0,0.0
PERF_00069,CMP_882,2024-04-07,79279,7363.0,10381,2003,555,382.0,420361.0
PERF_00070,CMP_815,2023-03-12,128986,4403.0,9887,537,463,347.0,380679.0
PERF_00071,CMP_167,2022-01-11,123523,13729.0,18218,2370,1686,303.0,15209.0
PERF_00072,CMP_767,2024-05-02,169492,9686.0,22490,1737,917,167.0,172361.0
PERF_00073,CMP_643,2022-12-18,100385,4076.0,14420,1632,1251,240.0,0.0
PERF_00074,CMP_310,2024-04-14,14653,1758.0,959,141,79,333.0,0.0
PERF_00075,CMP_058,2023-07-29,65823,2101.0,1490,108,44,342.0,0.0
PERF_00076,CMP_939,2022-10-24,122905,10685.0,14711,1105,1008,382.0,408786.0
PERF_00077,CMP_080,2023-07-15,82536,1806.0,1926,186,142,490.0,494601.0
PERF_00078,CMP_357,2023-01-13,52990,972.0,5817,838,163,395.0,359748.0
PERF_00079,CMP_817,2025-05-13,32733,3194.0,3062,171,191,338.0,266269.0
PERF_00080,CMP_477,2024-10-25,90451,1030.0,6748,833,368,185.0,435481.0
PERF_00081,CMP_217,2022-05-28,186416,5001.0,7996,1025,576,315.0,283157.0
PERF_00082,CMP_902,2022-09-25,127745,7809.0,16267,2259,744,125.0,46436.0
PERF_00083,CMP_458,2024-07-31,119175,4388.0,9583,1356,482,14.0,171401.0
PERF_00084,CMP_380,2022-08-16,128808,4293.0,15935,1610,1440,359.0,292394.0
PERF_00085,CMP_835,2023-10-02,136430,15592.0,4247,671,250,388.0,250609.0
PERF_00086,CMP_529,2024-06-28,187605,12004.0,23090,1476,871,354.0,349106.0
PERF_00087,CMP_174,2025-03-06,97736,6065.0,8700,990,693,169.0,238893.0
PERF_00088,CMP_350,2025-04-06,81379,3064.0,2904,229,85,274.0,362844.0
PERF_00089,CMP_057,2023-04-13,51211,1731.0,4247,673,416,,53704.0
PERF_00090,CMP_922,2022-04-11,78659,2754.0,3408,177,213,140.0,0.0
PERF_00091,CMP_045,2024-06-22,146059,6154.0,20847,3037,1672,52.0,301974.0
PERF_00092,CMP_277,2024-02-22,124049,7772.0,7975,1553,320,441.0,432025.0
PERF_00093,CMP_906,2024-12-15,106043,6796.0,10075,1541,323,415.0,160297.0
PERF_00094,CMP_015,2025-03-05,66061,1521.0,7886,1111,656,115.0,200427.0
PERF_00095,CMP_984,2025-02-15,117056,4999.0,11296,1291,739,30.0,389019.0
PERF_00096,CMP_004,2025-01-27,55470,4371.0,3017,187,118,282.0,0.0
PERF_00097,CMP_006,2022-07-18,108090,6437.0,10505,984,404,361.0,451681.0
PERF_00098,CMP_104,2023-09-13,19659,1683.0,2754,463,192,338.0,104714.0
PERF_00099,CMP_434,2025-02-02,31087,2173.0,3239,603,278,36.0,
PERF_00100,CMP_232,2022-05-20,81638,6159.0,10380,1953,572,239.0,367861.0
PERF_00101,CMP_689,2025-05-06,72367,4707.0,6092,378,141,221.0,317519.0
PERF_00102,CMP_758,2023-12-18,7780,155.0,1128,197,74,,0.0
PERF_00103,CMP_369,2024-11-05,177234,17786.0,16821,2766,572,265.0,481285.0
PERF_00104,CMP_061,2024-06-29,48576,5812.0,3724,641,363,240.0,175749.0
PERF_00105,CMP_454,2024-12-12,176671,3799.0,7227,807,431,339.0,427542.0
PERF_00106,CMP_484,2023-12-02,145204,2038.0,4566,401,133,395.0,
PERF_00107,CMP_162,2024-03-21,1301,107.0,117,13,4,185.0,262353.0
PERF_00108,CMP_880,2024-05-22,14529,470.0,1327,251,73,357.0,16135.0
PERF_00109,CMP_221,2024-10-11,187065,,17136,2276,470,430.0,242931.0
PERF_00110,CMP_668,2024-04-25,170793,17341.0,14481,2280,879,139.0,253968.0
PERF_00111,CMP_329,2022-06-06,64892,3909.0,2518,197,171,382.0,453998.0
PERF_00112,CMP_563,2024-09-23,73416,6974.0,9622,971,798,136.0,149289.0
PERF_00113,CMP_369,2024-11-04,79264,8094.0,7560,1126,674,228.0,181944.0
PERF_00114,CMP_562,2022-06-12,145681,13681.0,10057,1910,900,357.0,201787.0
PERF_00115,CMP_544,2023-10-02,108682,,12695,1977,1077,197.0,416442.0
PERF_00116,CMP_370,2024-05-12,171922,20267.0,14508,805,873,302.0,53619.0
PERF_00117,CMP_463,2023-07-18,116423,2441.0,16107,842,507,445.0,81929.0
PERF_00118,CMP_597,2023-06-11,124074,11907.0,6756,969,349,41.0,
PERF_00119,CMP_006,2022-08-30,140885,7297.0,8617,1359,695,446.0,324726.0
PERF_00120,CMP_042,2023-10-10,62543,4967.0,8738,1744,696,222.0,399652.0
PERF_00121,CMP_352,2022-01-23,117307,3319.0,6912,375,317,28.0,197524.0
PERF_00122,CMP_416,2023-03-04,39160,1443.0,2880,438,99,89.0,
PERF_00123,CMP_323,2024-08-27,101281,7916.0,5196,971,163,236.0,241947.0
PERF_00124,CMP_851,2022-07-11,175808,1939.0,21906,4056,1625,80.0,0.0
PERF_00125,CMP_860,2024-05-25,155028,6651.0,22488,3452,1271,154.0,202690.0
PERF_00126,CMP_980,2024-04-05,28958,1045.0,2732,372,271,151.0,0.0
PERF_00127,CMP_650,2022-10-31,173550,9291.0,3653,656,300,498.0,0.0
PERF_00128,CMP_832,2025-01-15,196342,12691.0,27004,2509,2265,310.0,115821.0
PERF_00129,CMP_642,2024-07-19,50841,3980.0,5496,869,399,429.0,0.0
PERF_00130,CMP_758,2023-11-28,165484,13420.0,9955,1156,660,374.0,0.0
PERF_00131,CMP_501,2022-08-05,86647,7990.0,3711,259,234,497.0,264084.0
PERF_00132,CMP_163,2025-02-23,44134,1688.0,5614,686,474,382.0,422649.0
PERF_00133,CMP_618,2023-12-13,123770,14347.0,4740,924,420,370.0,209358.0
PERF_00134,CMP_567,2025-02-08,96885,1931.0,6907,619,206,188.0,353500.0
PERF_00135,CMP_003,2022-08-13,154238,,15888,1679,1175,241.0,0.0
PERF_00136,CMP_402,2024-10-31,148169,6827.0,14714,2165,1042,237.0,159434.0
PERF_00137,CMP_628,2022-08-28,108032,2466.0,2797,155,278,59.0,0.0
PERF_00138,CMP_823,2023-03-08,36563,1928.0,2494,479,188,276.0,390162.0
PERF_00139,CMP_165,2022-03-31,41507,4457.0,4364,763,302,480.0,18152.0
PERF_00140,CMP_681,2022-05-11,98132,3326.0,7635,652,374,351.0,473748.0
PERF_00141,CMP_245,2023-06-09,95024,1583.0,5308,1036,509,421.0,348481.0
PERF_00142,CMP_514,2023-08-02,169218,13595.0,24746,1425,1155,64.0,108586.0
PERF_00143,CMP_061,2024-06-16,146282,4796.0,7032,1268,325,75.0,313466.0
PERF_00144,CMP_625,2024-06-12,73685,7694.0,2859,198,114,89.0,0.0
PERF_00145,CMP_946,2023-07-26,7758,190.0,516,86,34,8.0,28472.0
PERF_00146,CMP_201,2024-10-24,195436,11004.0,6796,404,379,185.0,58175.0
PERF_00147,CMP_678,2023-02-08,133078,4573.0,13302,2116,1233,337.0,241146.0
PERF_00148,CMP_856,2024-01-01,9165,152.0,753,83,56,251.0,233554.0
PERF_00149,CMP_145,2024-08-19,22178,1007.0,871,60,60,299.0,171490.0
PERF_00150,CMP_425,2022-12-01,157602,10773.0,12447,1752,347,359.0,0.0
PERF_00151,CMP_251,2024-01-08,171633,,15734,2829,856,454.0,178697.0
PERF_00152,CMP_548,2023-08-05,105524,5883.0,3414,389,249,191.0,361092.0
PERF_00153,CMP_786,2022-12-25,18598,372.0,578,66,45,190.0,292698.0
PERF_00154,CMP_827,2023-12-03,154738,17830.0,14393,2166,760,,394365.0
PERF_00155,CMP_748,2023-01-13,190021,2975.0,10905,1056,308,,345318.0
PERF_00156,CMP_809,2022-11-30,59784,6169.0,3916,522,114,142.0,424216.0
PERF_00157,CMP_456,2023-07-24,148053,17351.0,18713,2657,1336,13.0,345893.0
PERF_00158,CMP_312,2022-09-21,8589,256.0,956,92,45,3.0,76105.0
PERF_00159,CMP_038,2025-02-20,173318,9374.0,6662,965,149,382.0,198234.0
PERF_00160,CMP_031,2024-06-27,119920,5696.0,8167,1292,670,290.0,464125.0
PERF_00161,CMP_154,2023-06-17,41784,1141.0,4191,633,175,338.0,319282.0
PERF_00162,CMP_253,2022-11-01,109575,4388.0,12945,868,704,145.0,311973.0
PERF_00163,CMP_659,2025-05-30,139132,11601.0,3604,393,244,3.0,496622.0
PERF_00164,CMP_680,2022-09-30,36975,3477.0,2130,144,127,220.0,200338.0
PERF_00165,CMP_326,2023-07-02,185463,6549.0,17180,2580,830,203.0,23178.0
PERF_00166,CMP_061,2024-07-09,5912,358.0,178,17,9,207.0,219991.0
PERF_00167,CMP_532,2025-02-26,31192,1701.0,4541,344,435,235.0,483224.0
PERF_00168,CMP_047,2025-03-02,24102,1398.0,813,93,42,40.0,163673.0
PERF_00169,CMP_821,2023-06-27,59083,2755.0,2473,313,72,261.0,407967.0
PERF_00170,CMP_114,2023-06-07,93038,8374.0,11765,2026,457,74.0,91963.0
PERF_00171,CMP_889,2022-07-15,41073,3845.0,4321,330,353,252.0,296559.0
PERF_00172,CMP_196,2024-09-17,152904,9079.0,21427,2885,1517,319.0,329842.0
PERF_00173,CMP_426,2022-11-23,40572,2368.0,3284,475,274,302.0,0.0
PERF_00174,CMP_233,2024-02-10,20448,902.0,1610,94,139,39.0,449420.0
PERF_00175,CMP_375,2022-06-02,162220,,11352,1555,1093,378.0,236789.0
PERF_00176,CMP_530,2024-07-19,171875,5277.0,16955,2122,1638,230.0,0.0
PERF_00177,CMP_461,2023-07-13,91030,10747.0,2818,414,65,362.0,231383.0
PERF_00178,CMP_089,2023-04-19,138035,10639.0,9290,1743,473,396.0,314464.0
PERF_00179,CMP_454,2024-11-07,166383,13510.0,4753,305,353,145.0,447465.0
PERF_00180,CMP_034,2022-08-08,88388,1676.0,9392,1761,420,335.0,206498.0
PERF_00181,CMP_413,2024-10-26,156986,13810.0,4868,651,347,168.0,352333.0
PERF_00182,CMP_959,2024-04-04,25498,,1913,199,93,92.0,180166.0
PERF_00183,CMP_674,2022-03-29,51333,1792.0,1944,119,170,51.0,283995.0
PERF_00184,CMP_186,2022-05-10,10895,902.0,1459,208,98,,436864.0
PERF_00185,CMP_074,2023-08-12,190053,11050.0,13952,2113,544,227.0,395469.0
PERF_00186,CMP_139,2024-10-03,62342,4285.0,3754,643,215,427.0,356628.0
PERF_00187,CMP_614,2024-05-04,116499,7081.0,6597,707,410,494.0,105699.0
PERF_00188,CMP_161,2023-01-29,37280,3952.0,998,121,49,478.0,0.0
PERF_00189,CMP_606,2023-02-02,75727,1455.0,3092,362,188,425.0,497193.0
PERF_00190,CMP_386,2023-06-12,119260,,16811,1886,869,191.0,43784.0
PERF_00191,CMP_587,2024-02-08,59861,784.0,8440,1484,607,405.0,0.0
PERF_00192,CMP_669,2025-02-21,76203,8451.0,6204,1083,500,240.0,3753.0
PERF_00193,CMP_350,2025-03-13,5981,,768,101,60,270.0,407937.0
PERF_00194,CMP_579,2023-03-14,63295,2729.0,1658,187,138,234.0,0.0
PERF_00195,CMP_046,2023-09-21,157431,10857.0,16082,2191,1246,149.0,323337.0
PERF_00196,CMP_264,2022-04-18,64062,4661.0,2841,426,175,184.0,0.0
PERF_00197,CMP_534,2023-11-27,143627,9451.0,21326,2838,1092,240.0,0.0
PERF_00198,CMP_715,2022-07-06,98858,3746.0,2185,367,103,375.0,55349.0
PERF_00199,CMP_939,2022-11-29,153542,13952.0,9708,549,618,416.0,436360.0
PERF_00200,CMP_291,2023-09-12,183292,11481.0,8009,562,618,483.0,154848.0
PERF_00201,CMP_171,2022-08-24,12483,1211.0,1687,164,75,203.0,285704.0
PERF_00202,CMP_354,2022-07-02,67404,945.0,7016,651,624,,175024.0
PERF_00203,CMP_275,2024-05-04,33630,3293.0,2582,284,142,489.0,98946.0
PERF_00204,CMP_136,2024-08-22,182421,11807.0,25568,3269,2150,372.0,226762.0
PERF_00205,CMP_849,2023-06-07,143992,6092.0,4800,476,209,228.0,224407.0
PERF_00206,CMP_758,2023-12-07,181817,10696.0,14204,2258,1319,314.0,144946.0
PERF_00207,CMP_158,2023-06-19,16036,292.0,1649,172,138,347.0,17326.0
PERF_00208,CMP_932,2024-12-13,160271,13557.0,12334,850,479,330.0,201725.0
PERF_00209,CMP_924,2024-09-29,9489,726.0,1027,197,51,390.0,0.0
PERF_00210,CMP_283,2025-04-16,139794,7040.0,8509,781,824,13.0,262642.0
PERF_00211,CMP_820,2024-02-22,102446,11319.0,3617,601,276,,150724.0
PERF_00212,CMP_519,2022-05-05,53475,1256.0,6998,824,643,227.0,425942.0
PERF_00213,CMP_445,2023-08-19,84778,7075.0,9515,1260,411,153.0,374192.0
PERF_00214,CMP_396,2022-02-11,184558,14791.0,22733,2871,675,102.0,125117.0
PERF_00215,CMP_945,2025-03-14,7890,392.0,744,89,73,66.0,46201.0
PERF_00216,CMP_126,2024-09-27,82078,4415.0,9291,1131,491,209.0,39666.0
PERF_00217,CMP_486,2023-11-18,84106,6783.0,6602,1003,313,449.0,290041.0
PERF_00218,CMP_786,2023-01-15,155084,4654.0,22582,2594,2096,28.0,272634.0
PERF_00219,CMP_455,2022-10-04,80724,2269.0,5000,781,238,,149923.0
PERF_00220,CMP_018,2024-08-26,66694,2107.0,9625,877,673,314.0,264493.0
PERF_00221,CMP_215,2023-02-04,45206,3394.0,4316,326,301,461.0,442728.0
PERF_00222,CMP_931,2023-01-29,11798,1188.0,279,15,19,295.0,111524.0
PERF_00223,CMP_936,2022-08-15,163033,13089.0,13816,1990,596,489.0,129386.0
PERF_00224,CMP_723,2022-12-03,107454,4590.0,3168,186,174,247.0,179358.0
PERF_00225,CMP_565,2022-09-27,38661,1715.0,4383,701,389,499.0,399807.0
PERF_00226,CMP_625,2024-07-05,135998,9762.0,8361,1003,346,126.0,0.0
PERF_00227,CMP_283,2025-04-05,77077,8786.0,10200,1149,989,461.0,172670.0
PERF_00228,CMP_999,2024-12-08,50763,4768.0,4303,547,257,157.0,48211.0
PERF_00229,CMP_092,2024-03-02,133499,8049.0,6847,941,163,144.0,463599.0
PERF_00230,CMP_140,2023-11-03,177297,10950.0,15915,2818,866,451.0,192772.0
PERF_00231,CMP_719,2022-12-20,106710,5362.0,7691,1042,273,283.0,203558.0
PERF_00232,CMP_995,2023-03-13,119057,11201.0,6710,1331,499,60.0,0.0
PERF_00233,CMP_097,2023-08-01,104259,5322.0,15459,2066,761,73.0,267926.0
PERF_00234,CMP_836,2025-01-20,132092,1905.0,3310,519,279,265.0,318855.0
PERF_00235,CMP_672,2023-08-16,37642,1734.0,3752,279,372,378.0,312282.0
PERF_00236,CMP_886,2022-01-20,133989,13547.0,11952,1868,525,417.0,0.0
PERF_00237,CMP_389,2022-06-20,177634,3917.0,13171,1266,1210,446.0,14970.0
PERF_00238,CMP_715,2022-07-12,70607,8217.0,8598,1430,569,369.0,0.0
PERF_00239,CMP_996,2023-08-22,45698,3092.0,5198,863,262,420.0,17552.0
PERF_00240,CMP_091,2022-06-27,184637,4078.0,4147,402,133,353.0,
PERF_00241,CMP_553,2023-05-24,161295,17945.0,21527,3452,537,70.0,295066.0
PERF_00242,CMP_233,2024-01-18,174598,10933.0,12045,2330,683,272.0,186748.0
PERF_00243,CMP_890,2023-02-15,160927,10180.0,23246,2135,1020,482.0,157035.0
PERF_00244,CMP_076,2023-05-13,76760,6719.0,8422,1038,491,286.0,418021.0
PERF_00245,CMP_579,2023-05-09,72685,3027.0,6872,903,629,202.0,406308.0
PERF_00246,CMP_609,2024-01-01,39397,1652.0,2261,355,107,226.0,392820.0
PERF_00247,CMP_386,2023-07-15,57095,1840.0,5139,976,388,70.0,0.0
PERF_00248,CMP_221,2024-11-25,63726,2336.0,6823,884,484,26.0,0.0
PERF_00249,CMP_113,2024-09-10,189051,11714.0,20522,1449,1993,500.0,214336.0
PERF_00250,CMP_506,2022-06-28,125701,7858.0,5773,1123,263,330.0,0.0
PERF_00251,CMP_099,2022-08-28,24451,1998.0,1227,197,108,19.0,92784.0
PERF_00252,CMP_252,2023-01-11,47081,5307.0,1164,204,96,95.0,458331.0
PERF_00253,CMP_216,2022-10-05,10821,119.0,1015,67,100,145.0,337232.0
PERF_00254,CMP_938,2022-03-08,138446,8906.0,19661,3492,1129,98.0,174373.0
PERF_00255,CMP_173,2024-07-02,192658,11652.0,10296,802,812,404.0,354580.0
PERF_00256,CMP_790,2024-03-24,51636,1513.0,6779,1251,584,263.0,211152.0
PERF_00257,CMP_430,2022-12-22,26004,788.0,995,98,39,133.0,235218.0
PERF_00258,CMP_950,2023-08-26,70990,8159.0,4206,666,87,334.0,124890.0
PERF_00259,CMP_1000,2023-01-09,176056,4050.0,10543,1168,634,458.0,404618.0
PERF_00260,CMP_121,2024-01-02,181955,4169.0,25309,2385,1750,112.0,251705.0
PERF_00261,CMP_819,2022-09-08,120269,11094.0,11876,1334,759,241.0,
PERF_00262,CMP_233,2024-03-02,58255,5464.0,6317,880,524,,369976.0
PERF_00263,CMP_817,2025-04-13,21474,2381.0,742,129,68,103.0,79565.0
PERF_00264,CMP_570,2022-12-26,87014,9048.0,6738,1024,521,250.0,0.0
PERF_00265,CMP_844,2024-09-12,117780,11655.0,9298,1180,525,29.0,353724.0
PERF_00266,CMP_965,2024-04-21,190603,2362.0,10117,510,378,37.0,0.0
PERF_00267,CMP_959,2024-03-12,184601,3140.0,27549,5239,703,478.0,151518.0
PERF_00268,CMP_518,2023-04-05,48181,4557.0,5760,1133,412,215.0,468315.0
PERF_00269,CMP_480,2022-11-11,118581,12529.0,16349,1738,1219,338.0,70724.0
PERF_00270,CMP_787,2023-08-04,92165,2124.0,13739,1496,414,114.0,397455.0
PERF_00271,CMP_574,2025-01-30,79214,4826.0,8989,1021,452,117.0,182487.0
PERF_00272,CMP_268,2024-11-29,73259,2251.0,9800,1615,221,,402632.0
PERF_00273,CMP_007,2025-01-04,64089,2093.0,2122,116,143,360.0,129311.0
PERF_00274,CMP_916,2022-07-07,106451,6204.0,9598,1565,787,71.0,152657.0
PERF_00275,CMP_898,2024-10-15,192762,14143.0,18326,3039,1566,121.0,76109.0
PERF_00276,CMP_018,2024-10-21,58945,3270.0,3287,438,221,376.0,329200.0
PERF_00277,CMP_847,2025-04-04,146712,9465.0,21478,4107,1583,402.0,366066.0
PERF_00278,CMP_025,2024-09-13,108022,2853.0,7447,1215,431,434.0,450598.0
PERF_00279,CMP_557,2023-06-29,122379,13537.0,11394,2223,735,68.0,134691.0
PERF_00280,CMP_290,2023-03-27,87576,7105.0,12250,2169,335,370.0,28020.0
PERF_00281,CMP_687,2024-09-09,99872,8399.0,9825,1778,344,389.0,353033.0
PERF_00282,CMP_541,2022-02-14,57889,3631.0,7701,769,743,7.0,100627.0
PERF_00283,CMP_752,2023-10-28,31753,2926.0,3748,701,283,360.0,
PERF_00284,CMP_771,2023-09-20,145724,6612.0,8276,992,595,157.0,269863.0
PERF_00285,CMP_143,2023-01-19,123160,2567.0,18174,2188,1584,468.0,165061.0
PERF_00286,CMP_038,2025-02-10,12984,933.0,633,45,25,478.0,378493.0
PERF_00287,CMP_430,2022-11-20,78382,2097.0,4928,527,427,255.0,495647.0
PERF_00288,CMP_225,2023-12-09,89490,3427.0,11347,2212,809,251.0,385183.0
PERF_00289,CMP_407,2022-09-28,45371,1152.0,4131,320,376,328.0,275697.0
PERF_00290,CMP_374,2023-01-08,20485,2334.0,2189,360,115,431.0,36634.0
PERF_00291,CMP_926,2024-06-08,40591,446.0,3480,368,241,341.0,479544.0
PERF_00292,CMP_678,2023-02-09,173827,11066.0,3625,481,75,271.0,281881.0
PERF_00293,CMP_573,2024-10-19,5493,358.0,608,69,57,91.0,0.0
PERF_00294,CMP_552,2024-11-16,138464,3652.0,6224,802,530,136.0,42428.0
PERF_00295,CMP_384,2024-07-09,107437,6498.0,5545,857,243,423.0,
PERF_00296,CMP_527,2024-09-15,25510,1392.0,1761,213,124,359.0,263069.0
PERF_00297,CMP_441,2025-01-06,170058,16373.0,15910,2843,439,270.0,121463.0
PERF_00298,CMP_850,2024-06-14,182479,19640.0,14929,850,387,473.0,285704.0
PERF_00299,CMP_944,2025-05-01,173519,2363.0,24420,2372,2366,300.0,0.0
PERF_00300,CMP_909,2023-10-04,21168,908.0,1975,266,173,346.0,174921.0
PERF_00301,CMP_035,2024-11-09,199078,18190.0,24439,3748,642,381.0,29152.0
PERF_00302,CMP_644,2022-12-08,115580,4107.0,3453,486,238,304.0,406565.0
PERF_00303,CMP_202,2023-12-04,8766,699.0,1068,125,40,283.0,227412.0
PERF_00304,CMP_548,2023-07-01,179177,13339.0,12436,2062,542,126.0,44011.0
PERF_00305,CMP_834,2022-08-01,41428,2145.0,5050,369,258,184.0,0.0
PERF_00306,CMP_750,2023-03-15,81810,4820.0,9733,635,262,,291843.0
PERF_00307,CMP_355,2022-04-08,107966,2306.0,3417,454,231,401.0,202975.0
PERF_00308,CMP_766,2023-06-30,77506,4303.0,9400,1492,608,500.0,274208.0
PERF_00309,CMP_657,2024-06-07,180651,9372.0,6873,654,408,32.0,145683.0
PERF_00310,CMP_775,2024-02-03,79578,5034.0,2387,209,94,320.0,324312.0
PERF_00311,CMP_379,2022-04-26,121025,2634.0,7213,1387,335,317.0,453040.0
PERF_00312,CMP_063,2023-11-21,116401,5450.0,14667,2624,1436,69.0,317256.0
PERF_00313,CMP_553,2023-05-13,53652,3363.0,2312,253,105,,258429.0
PERF_00314,CMP_425,2022-12-26,64550,2959.0,3643,611,179,477.0,311497.0
PERF_00315,CMP_232,2022-05-04,48166,4093.0,4407,850,250,362.0,419216.0
PERF_00316,CMP_565,2022-09-07,182622,3215.0,23779,4024,1755,71.0,
PERF_00317,CMP_064,2024-03-19,173664,4681.0,13025,1387,728,306.0,211137.0
